,model,region,scenario,unit,variable,2015,2020,2030,2040,2050,2060,2070,2080,2090,2100
16,IMAGE,World,ssp119,kt C8F18 / yr,Emissions|C8F18,0.1014,0.1261,0.0297,0.0183,0.0107,0.0065,0.0043,0.0029,0.0018,0.0006
17,IMAGE,World,ssp119,kt CCl4 / yr,Emissions|CCl4,47.5476,34.8954,18.7952,10.1234,5.4526,2.9369,1.5818,0.852,0.4589,0.2461
18,IMAGE,World,ssp119,kt CF4 / yr,Emissions|CF4,10.8699,12.4803,4.1181,3.1692,2.3008,1.8542,1.6195,1.4255,1.1751,0.9247
19,IMAGE,World,ssp119,kt CFC11 / yr,Emissions|CFC11,43.5734,35.1105,22.7964,14.8012,9.6101,6.2396,4.0512,2.6304,1.7078,1.1067
20,IMAGE,World,ssp119,kt CFC113 / yr,Emissions|CFC113,0.8742,0.411,0.0909,0.0201,0.0044,0.001,0.0002,0.0,0.0,0.0
21,IMAGE,World,ssp119,kt CFC114 / yr,Emissions|CFC114,1.6696,0.8978,0.2594,0.0751,0.0217,0.0063,0.0018,0.0004,0.0002,0.0
22,IMAGE,World,ssp119,kt CFC115 / yr,Emissions|CFC115,1.6714,1.3855,0.9519,0.6544,0.4498,0.3091,0.2124,0.1459,0.1002,0.0686
23,IMAGE,World,ssp119,kt CFC12 / yr,Emissions|CFC12,14.6096,6.0003,1.0122,0.1707,0.0288,0.0049,0.0008,0.0001,-0.0,0.012
24,IMAGE,World,ssp119,kt CH2Cl2 / yr,Emissions|CH2Cl2,1267.98,1508.77,404.731,317.05,321.263,323.295,327.907,334.69,340.413,339.54
25,IMAGE,World,ssp119,kt CH3Br / yr,Emissions|CH3Br,133.823,140.82,113.516,110.26,108.121,106.942,106.294,105.911,105.587,105.263
26,IMAGE,World,ssp119,kt CH3CCl3 / yr,Emissions|CH3CCl3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,IMAGE,World,ssp119,kt CH3Cl / yr,Emissions|CH3Cl,5404.81,5572.08,4703.49,4604.93,4514.73,4468.34,4443.96,4423.81,4397.8,4371.79
28,IMAGE,World,ssp119,kt CHCl3 / yr,Emissions|CHCl3,459.646,505.264,327.255,306.027,292.078,284.394,280.17,277.676,275.564,273.452
29,IMAGE,World,ssp119,kt HCFC141b / yr,Emissions|HCFC141b,59.82,64.9344,53.9924,31.7665,18.1624,10.3843,5.9372,3.3946,1.9408,1.2004
30,IMAGE,World,ssp119,kt HCFC142b / yr,Emissions|HCFC142b,22.47,20.0708,11.6285,3.6001,1.0108,0.2838,0.0796,0.0224,0.0063,0.0209
31,IMAGE,World,ssp119,kt HCFC22 / yr,Emissions|HCFC22,358.881,322.601,143.31,20.2888,1.8833,0.1748,0.0163,0.0015,0.0002,0.009
