,model,region,scenario,unit,variable,Year,Emissions
355,REMIND-MAGPIE,World,ssp585,kt Halon1202 / yr,Emissions|Halon1202,2040,0.0
356,REMIND-MAGPIE,World,ssp585,kt Halon1211 / yr,Emissions|Halon1211,2040,0.4231
357,REMIND-MAGPIE,World,ssp585,kt Halon1301 / yr,Emissions|Halon1301,2040,0.5193
358,REMIND-MAGPIE,World,ssp585,kt Halon2402 / yr,Emissions|Halon2402,2040,0.1153
359,REMIND-MAGPIE,World,ssp585,kt N2O / yr,Emissions|N2O,2040,13379.9
360,REMIND-MAGPIE,World,ssp585,kt NF3 / yr,Emissions|NF3,2040,1.6846
361,REMIND-MAGPIE,World,ssp585,kt SF6 / yr,Emissions|SF6,2040,9.9479
362,REMIND-MAGPIE,World,ssp585,kt SO2F2 / yr,Emissions|SO2F2,2040,2.0581
363,REMIND-MAGPIE,World,ssp585,kt cC4F8 / yr,Emissions|cC4F8,2040,1.0302
416,REMIND-MAGPIE,World,ssp585,Mt BC / yr,Emissions|BC,2050,6.9009
417,REMIND-MAGPIE,World,ssp585,Mt CH4 / yr,Emissions|CH4,2050,590.298
418,REMIND-MAGPIE,World,ssp585,Mt CO / yr,Emissions|CO,2050,671.951
419,REMIND-MAGPIE,World,ssp585,Mt CO2 / yr,Emissions|CO2|MAGICC AFOLU,2050,2052.99
420,REMIND-MAGPIE,World,ssp585,Mt CO2 / yr,Emissions|CO2|MAGICC Fossil and Industrial,2050,81245.2
421,REMIND-MAGPIE,World,ssp585,Mt NH3 / yr,Emissions|NH3,2050,81.112
422,REMIND-MAGPIE,World,ssp585,Mt NOx / yr,Emissions|NOx,2050,161.214
423,REMIND-MAGPIE,World,ssp585,Mt OC / yr,Emissions|OC,2050,20.3326
424,REMIND-MAGPIE,World,ssp585,Mt SO2 / yr,Emissions|Sulfur,2050,60.442
425,REMIND-MAGPIE,World,ssp585,Mt VOC / yr,Emissions|VOC,2050,204.304
426,REMIND-MAGPIE,World,ssp585,kt C2F6 / yr,Emissions|C2F6,2050,0.6675
427,REMIND-MAGPIE,World,ssp585,kt C3F8 / yr,Emissions|C3F8,2050,0.1904
428,REMIND-MAGPIE,World,ssp585,kt C4F10 / yr,Emissions|C4F10,2050,0.0423
429,REMIND-MAGPIE,World,ssp585,kt C5F12 / yr,Emissions|C5F12,2050,0.0185
430,REMIND-MAGPIE,World,ssp585,kt C6F14 / yr,Emissions|C6F14,2050,0.1488
431,REMIND-MAGPIE,World,ssp585,kt C7F16 / yr,Emissions|C7F16,2050,0.0994
432,REMIND-MAGPIE,World,ssp585,kt C8F18 / yr,Emissions|C8F18,2050,0.0431
433,REMIND-MAGPIE,World,ssp585,kt CCl4 / yr,Emissions|CCl4,2050,5.4526
434,REMIND-MAGPIE,World,ssp585,kt CF4 / yr,Emissions|CF4,2050,7.8588
435,REMIND-MAGPIE,World,ssp585,kt CFC11 / yr,Emissions|CFC11,2050,9.6101
436,REMIND-MAGPIE,World,ssp585,kt CFC113 / yr,Emissions|CFC113,2050,0.0044
437,REMIND-MAGPIE,World,ssp585,kt CFC114 / yr,Emissions|CFC114,2050,0.0217
438,REMIND-MAGPIE,World,ssp585,kt CFC115 / yr,Emissions|CFC115,2050,0.4498
439,REMIND-MAGPIE,World,ssp585,kt CFC12 / yr,Emissions|CFC12,2050,0.0288
440,REMIND-MAGPIE,World,ssp585,kt CH2Cl2 / yr,Emissions|CH2Cl2,2050,2158.83
441,REMIND-MAGPIE,World,ssp585,kt CH3Br / yr,Emissions|CH3Br,2050,117.305
442,REMIND-MAGPIE,World,ssp585,kt CH3CCl3 / yr,Emissions|CH3CCl3,2050,0.0
443,REMIND-MAGPIE,World,ssp585,kt CH3Cl / yr,Emissions|CH3Cl,2050,5092.05
444,REMIND-MAGPIE,World,ssp585,kt CHCl3 / yr,Emissions|CHCl3,2050,351.955
445,REMIND-MAGPIE,World,ssp585,kt HCFC141b / yr,Emissions|HCFC141b,2050,18.1624
446,REMIND-MAGPIE,World,ssp585,kt HCFC142b / yr,Emissions|HCFC142b,2050,1.0108
447,REMIND-MAGPIE,World,ssp585,kt HCFC22 / yr,Emissions|HCFC22,2050,1.8833
448,REMIND-MAGPIE,World,ssp585,kt HFC125 / yr,Emissions|HFC125,2050,530.245
449,REMIND-MAGPIE,World,ssp585,kt HFC134a / yr,Emissions|HFC134a,2050,378.108
